2020-10-25 19:35:43
dt: 0.01
Time[s]     Moment_Rate [Nm]
    0.00		3.0000e+13
    0.01		8.0000e+13
    0.02		2.0000e+14
    0.03		5.0000e+14
    0.04		1.2000e+15
    0.05		3.0000e+15
    0.06		8.0000e+15
    0.07		2.0000e+16
    0.08		5.0000e+16
    0.09		1.2000e+17
    0.10		4.0000e+16
    0.11		1.5000e+16
    0.12		6.0000e+15
    0.13		2.5000e+15
    0.14		1.0000e+15
    0.15		4.0000e+14
    0.16		1.5000e+14
    0.17		6.0000e+13
    0.18		2.5000e+13
    0.19		1.0000e+13
    0.20		3.0000e+12
    0.21		8.0000e+11
    0.22		2.0000e+11
    0.23		0.0000e+00
    0.24		1.0000e+13
    0.25		4.0000e+13
    0.26		1.5000e+14
    0.27		5.0000e+14
    0.28		1.5000e+15
    0.29		5.0000e+15
    0.30		1.5000e+16
    0.31		4.5000e+16
    0.32		9.0000e+16
    0.33		3.0000e+16
    0.34		1.0000e+16
    0.35		3.5000e+15
    0.36		1.2000e+15
    0.37		4.0000e+14
    0.38		1.5000e+14
    0.39		5.0000e+13
    0.40		2.0000e+13
    0.41		8.0000e+12
    0.42		3.0000e+12
    0.43		1.0000e+12
    0.44		4.0000e+11
    0.45		1.5000e+11
    0.46		5.0000e+10
    0.47		2.0000e+10
    0.48		8.0000e+09
    0.49		3.0000e+09
    0.50		1.0000e+09
    0.51		4.0000e+08
    0.52		1.5000e+08
    0.53		5.0000e+07
    0.54		2.0000e+07
    0.55		8.0000e+06
    0.56		3.0000e+06
    0.57		1.0000e+06
    0.58		4.0000e+05
    0.59		1.5000e+05
    0.60		5.0000e+04
    0.61		2.0000e+04
    0.62		8.0000e+03
    0.63		3.0000e+03
    0.64		1.0000e+03
    0.65		4.0000e+02
    0.66		1.5000e+02
    0.67		5.0000e+01
    0.68		2.0000e+01
    0.69		8.0000e+00
    0.70		3.0000e+00
    0.71		1.0000e+00
    0.72		5.0000e-01
    0.73		2.0000e-01
    0.74		1.0000e-01
    0.75		5.0000e-02
    0.76		2.0000e-02
    0.77		1.0000e-02
    0.78		5.0000e-03
    0.79		2.0000e-03
    0.80		1.0000e-03
    0.81		8.0000e-04
    0.82		6.0000e-04
    0.83		5.0000e-04
    0.84		4.0000e-04
    0.85		3.0000e-04
    0.86		2.5000e-04
    0.87		2.0000e-04
    0.88		1.8000e-04
    0.89		1.6000e-04
    0.90		1.4000e-04
    1.00		1.0000e-04
    1.20		5.0000e-05
    1.50		2.0000e-05
    2.00		1.0000e-05
    2.50		5.0000e-06
    5.00		0.0000e+00
